artifact_id,role,age,relative_path,sha256
devccf-e15-volume,blueprint_volume,E15.5,DevCCFv1_figshare_26377171/coordinate_system/GSE269617_region_merged/E15.5_broad_region_annotations.nii.gz,09a7da713fda86cd5be0a4bc450e299cb0ca934fc20938da303a6a5ad550efa3
devccf-e18-volume,blueprint_volume,E18.5,DevCCFv1_figshare_26377171/coordinate_system/GSE269617_region_merged/E18.5_broad_region_annotations.nii.gz,7d85266e7edc1d4a01419c9d1ec85d33a193953f2059d1a199ed6f17d166e1df
devccf-region-schema,region_schema,both,DevCCFv1_figshare_26377171/coordinate_system/GSE269617_region_merged/gse269617_region_schema.tsv,10f96f07ebd142576b81f86d9719456057895ee944db62c3a1dfeebb4303d3a7
gse269617-e18m-1,reference,E18.5,GSE269617/h5ad_region_annotated/GSM8323030_E18M_1.h5ad,40602fb30eca241c099c6c267860ba539af57c4b21a9a868add9888244e87d0e
gse269617-e18m-2,reference,E18.5,GSE269617/h5ad_region_annotated/GSM8323031_E18M_2.h5ad,2633cedc13f715195c95dadcb0d6fdc4dcaeff682a40bc60ffedbc71735ed251
gse269617-e18m-3,reference,E18.5,GSE269617/h5ad_region_annotated/GSM8323032_E18M_3.h5ad,c7ec0b165ab8cba7ab7f31441d954cba0aee12ad33a809c2bcbbfa28bcf10e7c
gse269617-e18m-4,reference,E18.5,GSE269617/h5ad_region_annotated/GSM8323033_E18M_4.h5ad,2376fd12ed63dfbb4824e3266a3094520f0c5a97ceed06fae72ae3d0daaa4ba3
gse269617-e18m-5,reference,E18.5,GSE269617/h5ad_region_annotated/GSM8323034_E18M_5.h5ad,bb8af7658aef38a0b19f5874fea38c35635e8ccb888809a257834439bb86d9cf
gse269617-e14m-1,reference,E15.5,GSE269617/h5ad_region_annotated/GSM8323035_E14M_1.h5ad,7c538ed295a2c8b866029b1691d71aec2441b61838949b3648e958b24f6fe948
gse269617-e14m-2,reference,E15.5,GSE269617/h5ad_region_annotated/GSM8323036_E14M_2.h5ad,6328a77d5250d49eb4eeccf4c6e568a9d140dad87975c2ec89d2f2bd05313dcc
gse269617-e14m-3,reference,E15.5,GSE269617/h5ad_region_annotated/GSM8323037_E14M_3.h5ad,54f0b44eba7f8d13d09a0f72c1fadb6d84db05f9dd07fd73b6979dad42cc218c
gse269617-e14m-4,reference,E15.5,GSE269617/h5ad_region_annotated/GSM8323038_E14M_4.h5ad,fd840bea048b20baa8da23afd5a42d43d8060151a03078e023417cc64c6fa33e
gse269617-e14m-5,reference,E15.5,GSE269617/h5ad_region_annotated/GSM8323039_E14M_5.h5ad,fee5dcf8f614b825a6bad4091ef7186fac27b4ad35fcb94d500727b6c0fc9759
gse269617-e14f-1,reference,E15.5,GSE269617/h5ad_region_annotated/GSM8323040_E14F_1.h5ad,378ac98373c5756acb67e73879ceffcf6283f1907b749ad64ab2cb21d1cc64d6
gse269617-e14f-2,reference,E15.5,GSE269617/h5ad_region_annotated/GSM8323041_E14F_2.h5ad,fe7729e9ed3cc63a5e2e40829a7f422091b2169c21e8b431a83ecc84d926d6e3
gse269617-e14f-3,reference,E15.5,GSE269617/h5ad_region_annotated/GSM8323042_E14F_3.h5ad,0c21e0606d06567e0694522fc50f56f3c85a259bd3a67275783140a6438161c5
gse269617-e14f-4,reference,E15.5,GSE269617/h5ad_region_annotated/GSM8323043_E14F_4.h5ad,6ca1d6cbb1177a448021f76803f732098ffe3e89bdb0776289c0a512d4fc1d4e
gse269617-e14f-5,reference,E15.5,GSE269617/h5ad_region_annotated/GSM8323044_E14F_5.h5ad,9c1023dae818bcd067651301c649819000a25d7565ec2b98b381debe31890e40
