SampleID	data_type	key	expected_bytes	url
E9.5_E1S1	h5ad	E9.5_E1S1.MOSTA.h5ad	463449741	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E9.5_E1S1.MOSTA.h5ad
E9.5_E2S1	h5ad	E9.5_E2S1.MOSTA.h5ad	399096440	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E9.5_E2S1.MOSTA.h5ad
E9.5_E2S2	h5ad	E9.5_E2S2.MOSTA.h5ad	305240280	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E9.5_E2S2.MOSTA.h5ad
E9.5_E2S3	h5ad	E9.5_E2S3.MOSTA.h5ad	366395337	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E9.5_E2S3.MOSTA.h5ad
E9.5_E2S4	h5ad	E9.5_E2S4.MOSTA.h5ad	310661621	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E9.5_E2S4.MOSTA.h5ad
E10.5_E1S1	h5ad	E10.5_E1S1.MOSTA.h5ad	1406160351	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E10.5_E1S1.MOSTA.h5ad
E10.5_E1S2	h5ad	E10.5_E1S2.MOSTA.h5ad	989518203	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E10.5_E1S2.MOSTA.h5ad
E10.5_E1S3	h5ad	E10.5_E1S3.MOSTA.h5ad	1410649371	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E10.5_E1S3.MOSTA.h5ad
E10.5_E2S1	h5ad	E10.5_E2S1.MOSTA.h5ad	400197383	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E10.5_E2S1.MOSTA.h5ad
E11.5_E1S1	h5ad	E11.5_E1S1.MOSTA.h5ad	1821103382	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E11.5_E1S1.MOSTA.h5ad
E11.5_E1S2	h5ad	E11.5_E1S2.MOSTA.h5ad	1282550377	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E11.5_E1S2.MOSTA.h5ad
E11.5_E1S3	h5ad	E11.5_E1S3.MOSTA.h5ad	1120534285	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E11.5_E1S3.MOSTA.h5ad
E11.5_E1S4	h5ad	E11.5_E1S4.MOSTA.h5ad	1591003763	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E11.5_E1S4.MOSTA.h5ad
E12.5_E1S1	h5ad	E12.5_E1S1.MOSTA.h5ad	2735277967	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E1S1.MOSTA.h5ad
E12.5_E1S2	h5ad	E12.5_E1S2.MOSTA.h5ad	2292421468	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E1S2.MOSTA.h5ad
E12.5_E1S3	h5ad	E12.5_E1S3.MOSTA.h5ad	1442036399	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E1S3.MOSTA.h5ad
E12.5_E1S4	h5ad	E12.5_E1S4.MOSTA.h5ad	2569893069	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E1S4.MOSTA.h5ad
E12.5_E1S5	h5ad	E12.5_E1S5.MOSTA.h5ad	2123083224	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E1S5.MOSTA.h5ad
E12.5_E2S1	h5ad	E12.5_E2S1.MOSTA.h5ad	1318246192	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E2S1.MOSTA.h5ad
E13.5_E1S1	h5ad	E13.5_E1S1.MOSTA.h5ad	3538828629	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E13.5_E1S1.MOSTA.h5ad
E13.5_E1S2	h5ad	E13.5_E1S2.MOSTA.h5ad	4405422136	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E13.5_E1S2.MOSTA.h5ad
E13.5_E1S3	h5ad	E13.5_E1S3.MOSTA.h5ad	4416919951	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E13.5_E1S3.MOSTA.h5ad
E13.5_E1S4	h5ad	E13.5_E1S4.MOSTA.h5ad	3316657192	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E13.5_E1S4.MOSTA.h5ad
E14.5_E1S1	h5ad	E14.5_E1S1.MOSTA.h5ad	6213730589	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E1S1.MOSTA.h5ad
E14.5_E1S2	h5ad	E14.5_E1S2.MOSTA.h5ad	4526202101	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E1S2.MOSTA.h5ad
E14.5_E1S3	h5ad	E14.5_E1S3.MOSTA.h5ad	2159699936	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E1S3.MOSTA.h5ad
E14.5_E1S4	h5ad	E14.5_E1S4.MOSTA.h5ad	5213834051	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E1S4.MOSTA.h5ad
E14.5_E1S5	h5ad	E14.5_E1S5.MOSTA.h5ad	4569284971	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E1S5.MOSTA.h5ad
E14.5_E2S1	h5ad	E14.5_E2S1.MOSTA.h5ad	2234471396	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E2S1.MOSTA.h5ad
E14.5_E2S2	h5ad	E14.5_E2S2.MOSTA.h5ad	3830578503	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E2S2.MOSTA.h5ad
E15.5_E1S1	h5ad	E15.5_E1S1.MOSTA.h5ad	4364137148	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E15.5_E1S1.MOSTA.h5ad
E15.5_E1S2	h5ad	E15.5_E1S2.MOSTA.h5ad	3786907657	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E15.5_E1S2.MOSTA.h5ad
E15.5_E1S3	h5ad	E15.5_E1S3.MOSTA.h5ad	4835530370	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E15.5_E1S3.MOSTA.h5ad
E15.5_E1S4	h5ad	E15.5_E1S4.MOSTA.h5ad	3628343121	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E15.5_E1S4.MOSTA.h5ad
E15.5_E2S1	h5ad	E15.5_E2S1.MOSTA.h5ad	3174363743	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E15.5_E2S1.MOSTA.h5ad
E16.5_E1S1	h5ad	E16.5_E1S1.MOSTA.h5ad	4762719303	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E1S1.MOSTA.h5ad
E16.5_E1S2	h5ad	E16.5_E1S2.MOSTA.h5ad	3762119070	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E1S2.MOSTA.h5ad
E16.5_E1S3	h5ad	E16.5_E1S3.MOSTA.h5ad	5646970512	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E1S3.MOSTA.h5ad
E16.5_E1S4	h5ad	E16.5_E1S4.MOSTA.h5ad	4733590597	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E1S4.MOSTA.h5ad
E16.5_E1S5	h5ad	E16.5_E1S5.MOSTA.h5ad	4395331927	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E1S5.MOSTA.h5ad
E16.5_E2S1	h5ad	E16.5_E2S1.MOSTA.h5ad	2162880792	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S1.MOSTA.h5ad
E16.5_E2S2	h5ad	E16.5_E2S2.MOSTA.h5ad	3019821240	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S2.MOSTA.h5ad
E16.5_E2S3	h5ad	E16.5_E2S3.MOSTA.h5ad	2959171049	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S3.MOSTA.h5ad
E16.5_E2S4	h5ad	E16.5_E2S4.MOSTA.h5ad	3078988960	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S4.MOSTA.h5ad
E16.5_E2S5	h5ad	E16.5_E2S5.MOSTA.h5ad	4303838847	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S5.MOSTA.h5ad
E16.5_E2S6	h5ad	E16.5_E2S6.MOSTA.h5ad	3909561637	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S6.MOSTA.h5ad
E16.5_E2S7	h5ad	E16.5_E2S7.MOSTA.h5ad	4537846756	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S7.MOSTA.h5ad
E16.5_E2S8	h5ad	E16.5_E2S8.MOSTA.h5ad	4188448202	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S8.MOSTA.h5ad
E16.5_E2S9	h5ad	E16.5_E2S9.MOSTA.h5ad	5363671971	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S9.MOSTA.h5ad
E16.5_E2S10	h5ad	E16.5_E2S10.MOSTA.h5ad	3587012746	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S10.MOSTA.h5ad
E16.5_E2S11	h5ad	E16.5_E2S11.MOSTA.h5ad	3271848083	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S11.MOSTA.h5ad
E16.5_E2S12	h5ad	E16.5_E2S12.MOSTA.h5ad	2628651313	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S12.MOSTA.h5ad
E16.5_E2S13	h5ad	E16.5_E2S13.MOSTA.h5ad	2697091556	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S13.MOSTA.h5ad
