method,slice_id,metric,feast_baseline,raw_slice,feast_minus_raw
GraphST,151508,ARI,0.530352379428,0.474512140665,0.055840238763
GraphST,151670,ARI,0.549690564551,0.551147835716,-0.001457271165
GraphST,151676,ARI,0.513777895663,0.591259120152,-0.077481224489
STAGATE_mclust,151508,ARI,0.443282863801,0.448452520204,-0.005169656404
STAGATE_mclust,151670,ARI,0.256868679032,0.267232044304,-0.010363365273
STAGATE_mclust,151676,ARI,0.532647053781,0.501387506324,0.031259547457
Leiden_unsupervised,151508,ARI,0.288538629847,0.291857368751,-0.003318738903
Leiden_unsupervised,151670,ARI,0.179767138001,0.196689852661,-0.016922714660
Leiden_unsupervised,151676,ARI,0.295403052405,0.275865078048,0.019537974357
GraphST,151508,NMI,0.676963149817,0.613274881338,0.063688268479
GraphST,151670,NMI,0.600287094472,0.600604779198,-0.000317684726
GraphST,151676,NMI,0.631569955675,0.671369808674,-0.039799852999
STAGATE_mclust,151508,NMI,0.605296543990,0.611585768002,-0.006289224012
STAGATE_mclust,151670,NMI,0.448006834885,0.447419003077,0.000587831808
STAGATE_mclust,151676,NMI,0.651312619019,0.626589666298,0.024722952720
Leiden_unsupervised,151508,NMI,0.386572124786,0.393942823843,-0.007370699057
Leiden_unsupervised,151670,NMI,0.291013994096,0.297440735479,-0.006426741383
Leiden_unsupervised,151676,NMI,0.401750456579,0.392648971612,0.009101484967
GraphST,151508,AMI,0.676192096038,0.612370196258,0.063821899780
GraphST,151670,AMI,0.599558623798,0.599876727475,-0.000318103677
GraphST,151676,AMI,0.630515220557,0.670438556849,-0.039923336292
STAGATE_mclust,151508,AMI,0.604388603257,0.610692050105,-0.006303446847
STAGATE_mclust,151670,AMI,0.447031400740,0.446440134680,0.000591266061
STAGATE_mclust,151676,AMI,0.650331096208,0.625525138189,0.024805958019
Leiden_unsupervised,151508,AMI,0.385351582919,0.392741486922,-0.007389904003
Leiden_unsupervised,151670,AMI,0.289792652560,0.296235399741,-0.006442747180
Leiden_unsupervised,151676,AMI,0.400524012214,0.390933358219,0.009590653995
