method,slice_id,baseline_source,metric,score,baseline_label
GraphST,151508,real_baseline,ARI,0.474512140665,Raw slice
GraphST,151508,baseline,ARI,0.530352379428,FEAST baseline
GraphST,151670,real_baseline,ARI,0.551147835716,Raw slice
GraphST,151670,baseline,ARI,0.549690564551,FEAST baseline
GraphST,151676,real_baseline,ARI,0.591259120152,Raw slice
GraphST,151676,baseline,ARI,0.513777895663,FEAST baseline
STAGATE_mclust,151508,real_baseline,ARI,0.448452520204,Raw slice
STAGATE_mclust,151508,baseline,ARI,0.443282863801,FEAST baseline
STAGATE_mclust,151670,real_baseline,ARI,0.267232044304,Raw slice
STAGATE_mclust,151670,baseline,ARI,0.256868679032,FEAST baseline
STAGATE_mclust,151676,real_baseline,ARI,0.501387506324,Raw slice
STAGATE_mclust,151676,baseline,ARI,0.532647053781,FEAST baseline
Leiden_unsupervised,151508,real_baseline,ARI,0.291857368751,Raw slice
Leiden_unsupervised,151508,baseline,ARI,0.288538629847,FEAST baseline
Leiden_unsupervised,151670,real_baseline,ARI,0.196689852661,Raw slice
Leiden_unsupervised,151670,baseline,ARI,0.179767138001,FEAST baseline
Leiden_unsupervised,151676,real_baseline,ARI,0.275865078048,Raw slice
Leiden_unsupervised,151676,baseline,ARI,0.295403052405,FEAST baseline
GraphST,151508,real_baseline,NMI,0.613274881338,Raw slice
GraphST,151508,baseline,NMI,0.676963149817,FEAST baseline
GraphST,151670,real_baseline,NMI,0.600604779198,Raw slice
GraphST,151670,baseline,NMI,0.600287094472,FEAST baseline
GraphST,151676,real_baseline,NMI,0.671369808674,Raw slice
GraphST,151676,baseline,NMI,0.631569955675,FEAST baseline
STAGATE_mclust,151508,real_baseline,NMI,0.611585768002,Raw slice
STAGATE_mclust,151508,baseline,NMI,0.605296543990,FEAST baseline
STAGATE_mclust,151670,real_baseline,NMI,0.447419003077,Raw slice
STAGATE_mclust,151670,baseline,NMI,0.448006834885,FEAST baseline
STAGATE_mclust,151676,real_baseline,NMI,0.626589666298,Raw slice
STAGATE_mclust,151676,baseline,NMI,0.651312619019,FEAST baseline
Leiden_unsupervised,151508,real_baseline,NMI,0.393942823843,Raw slice
Leiden_unsupervised,151508,baseline,NMI,0.386572124786,FEAST baseline
Leiden_unsupervised,151670,real_baseline,NMI,0.297440735479,Raw slice
Leiden_unsupervised,151670,baseline,NMI,0.291013994096,FEAST baseline
Leiden_unsupervised,151676,real_baseline,NMI,0.392648971612,Raw slice
Leiden_unsupervised,151676,baseline,NMI,0.401750456579,FEAST baseline
GraphST,151508,real_baseline,AMI,0.612370196258,Raw slice
GraphST,151508,baseline,AMI,0.676192096038,FEAST baseline
GraphST,151670,real_baseline,AMI,0.599876727475,Raw slice
GraphST,151670,baseline,AMI,0.599558623798,FEAST baseline
GraphST,151676,real_baseline,AMI,0.670438556849,Raw slice
GraphST,151676,baseline,AMI,0.630515220557,FEAST baseline
STAGATE_mclust,151508,real_baseline,AMI,0.610692050105,Raw slice
STAGATE_mclust,151508,baseline,AMI,0.604388603257,FEAST baseline
STAGATE_mclust,151670,real_baseline,AMI,0.446440134680,Raw slice
STAGATE_mclust,151670,baseline,AMI,0.447031400740,FEAST baseline
STAGATE_mclust,151676,real_baseline,AMI,0.625525138189,Raw slice
STAGATE_mclust,151676,baseline,AMI,0.650331096208,FEAST baseline
Leiden_unsupervised,151508,real_baseline,AMI,0.392741486922,Raw slice
Leiden_unsupervised,151508,baseline,AMI,0.385351582919,FEAST baseline
Leiden_unsupervised,151670,real_baseline,AMI,0.296235399741,Raw slice
Leiden_unsupervised,151670,baseline,AMI,0.289792652560,FEAST baseline
Leiden_unsupervised,151676,real_baseline,AMI,0.390933358219,Raw slice
Leiden_unsupervised,151676,baseline,AMI,0.400524012214,FEAST baseline
