job_id,method,alteration,angle_degrees,metric,metric_label,direction,value,solver_evidence_disposition
baseline__paste__angle_1,paste,baseline,1.0,mean_spatial_error,Mean spatial error,lower_is_better,2.1365082438755465e-11,positive_convergence_evidence
baseline__paste__angle_5,paste,baseline,5.0,mean_spatial_error,Mean spatial error,lower_is_better,2.4700574961754094e-11,positive_convergence_evidence
baseline__paste__angle_10,paste,baseline,10.0,mean_spatial_error,Mean spatial error,lower_is_better,2.161098689022093e-11,positive_convergence_evidence
baseline__paste__angle_30,paste,baseline,30.0,mean_spatial_error,Mean spatial error,lower_is_better,1.90868193052342e-11,positive_convergence_evidence
baseline__paste__angle_45,paste,baseline,45.0,mean_spatial_error,Mean spatial error,lower_is_better,2.6214617043750366e-11,positive_convergence_evidence
baseline__spateo__angle_1,spateo,baseline,1.0,mean_spatial_error,Mean spatial error,lower_is_better,0.00715350614550445,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_5,spateo,baseline,5.0,mean_spatial_error,Mean spatial error,lower_is_better,0.007237859727028317,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_10,spateo,baseline,10.0,mean_spatial_error,Mean spatial error,lower_is_better,0.007612249389891228,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_30,spateo,baseline,30.0,mean_spatial_error,Mean spatial error,lower_is_better,0.0074319203153478605,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_45,spateo,baseline,45.0,mean_spatial_error,Mean spatial error,lower_is_better,0.007873705152931683,fixed_schedule_complete_no_convergence_claim
baseline__paste__angle_1,paste,baseline,1.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.0,positive_convergence_evidence
baseline__paste__angle_5,paste,baseline,5.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,2.842170943040401e-14,positive_convergence_evidence
baseline__paste__angle_10,paste,baseline,10.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.0,positive_convergence_evidence
baseline__paste__angle_30,paste,baseline,30.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,5.684341886080802e-14,positive_convergence_evidence
baseline__paste__angle_45,paste,baseline,45.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,8.526512829121202e-14,positive_convergence_evidence
baseline__spateo__angle_1,spateo,baseline,1.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.00010885779059321976,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_5,spateo,baseline,5.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.00011164765615490069,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_10,spateo,baseline,10.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.00011761396996234907,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_30,spateo,baseline,30.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.00011494698466663067,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_45,spateo,baseline,45.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.00012137763650343913,fixed_schedule_complete_no_convergence_claim
baseline__paste__angle_1,paste,baseline,1.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9949978706633906,positive_convergence_evidence
baseline__paste__angle_5,paste,baseline,5.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9949978706633906,positive_convergence_evidence
baseline__paste__angle_10,paste,baseline,10.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9949978706633906,positive_convergence_evidence
baseline__paste__angle_30,paste,baseline,30.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9949978706633906,positive_convergence_evidence
baseline__paste__angle_45,paste,baseline,45.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9949978706633906,positive_convergence_evidence
baseline__spateo__angle_1,spateo,baseline,1.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9949978706633906,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_5,spateo,baseline,5.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9949978706633906,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_10,spateo,baseline,10.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9949978706633906,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_30,spateo,baseline,30.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9949978706633906,fixed_schedule_complete_no_convergence_claim
baseline__spateo__angle_45,spateo,baseline,45.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9949978706633906,fixed_schedule_complete_no_convergence_claim
mean_0.5__paste__angle_1,paste,mean_0.5,1.0,mean_spatial_error,Mean spatial error,lower_is_better,2.1365082438755465e-11,positive_convergence_evidence
mean_0.5__paste__angle_5,paste,mean_0.5,5.0,mean_spatial_error,Mean spatial error,lower_is_better,2.4700574961754094e-11,positive_convergence_evidence
mean_0.5__paste__angle_10,paste,mean_0.5,10.0,mean_spatial_error,Mean spatial error,lower_is_better,2.161098689022093e-11,positive_convergence_evidence
mean_0.5__paste__angle_30,paste,mean_0.5,30.0,mean_spatial_error,Mean spatial error,lower_is_better,1.90868193052342e-11,positive_convergence_evidence
mean_0.5__paste__angle_45,paste,mean_0.5,45.0,mean_spatial_error,Mean spatial error,lower_is_better,2.6214617043750366e-11,positive_convergence_evidence
mean_0.5__spateo__angle_1,spateo,mean_0.5,1.0,mean_spatial_error,Mean spatial error,lower_is_better,0.023327705934457595,fixed_schedule_complete_no_convergence_claim
mean_0.5__spateo__angle_5,spateo,mean_0.5,5.0,mean_spatial_error,Mean spatial error,lower_is_better,0.023157972575806613,fixed_schedule_complete_no_convergence_claim
