pair_id,pair_order,slice_id,resolution,method,metric,metric_label,value,comparison_scope,scientific_stop,publication_claim_authorized,aggregate_winner_ranking_authorized
007__resolution_0.1,1,7,0.1,Cell2location,jsd_mean,Mean Jensen–Shannon divergence ↓,0.270811592718,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.1,1,7,0.1,RCTD,jsd_mean,Mean Jensen–Shannon divergence ↓,0.25439658444,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.25,2,7,0.25,Cell2location,jsd_mean,Mean Jensen–Shannon divergence ↓,0.39463432988,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.25,2,7,0.25,RCTD,jsd_mean,Mean Jensen–Shannon divergence ↓,0.272010339596,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.1,3,50,0.1,Cell2location,jsd_mean,Mean Jensen–Shannon divergence ↓,0.482319023415,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.1,3,50,0.1,RCTD,jsd_mean,Mean Jensen–Shannon divergence ↓,0.33462655231,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.25,4,50,0.25,Cell2location,jsd_mean,Mean Jensen–Shannon divergence ↓,0.639410562689,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.25,4,50,0.25,RCTD,jsd_mean,Mean Jensen–Shannon divergence ↓,0.359899418264,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.1,5,100,0.1,Cell2location,jsd_mean,Mean Jensen–Shannon divergence ↓,0.641551701975,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.1,5,100,0.1,RCTD,jsd_mean,Mean Jensen–Shannon divergence ↓,0.337322230465,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.25,6,100,0.25,Cell2location,jsd_mean,Mean Jensen–Shannon divergence ↓,0.701211097591,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.25,6,100,0.25,RCTD,jsd_mean,Mean Jensen–Shannon divergence ↓,0.36442237919,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.1,1,7,0.1,Cell2location,pearson_mean,Mean Pearson correlation ↑,0.756706021434,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.1,1,7,0.1,RCTD,pearson_mean,Mean Pearson correlation ↑,0.795966542176,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.25,2,7,0.25,Cell2location,pearson_mean,Mean Pearson correlation ↑,0.722061287773,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.25,2,7,0.25,RCTD,pearson_mean,Mean Pearson correlation ↑,0.807745059012,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.1,3,50,0.1,Cell2location,pearson_mean,Mean Pearson correlation ↑,0.5583657787,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.1,3,50,0.1,RCTD,pearson_mean,Mean Pearson correlation ↑,0.800498151224,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.25,4,50,0.25,Cell2location,pearson_mean,Mean Pearson correlation ↑,0.548206666181,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.25,4,50,0.25,RCTD,pearson_mean,Mean Pearson correlation ↑,0.7831799709,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.1,5,100,0.1,Cell2location,pearson_mean,Mean Pearson correlation ↑,0.554268399298,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.1,5,100,0.1,RCTD,pearson_mean,Mean Pearson correlation ↑,0.788817757021,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.25,6,100,0.25,Cell2location,pearson_mean,Mean Pearson correlation ↑,0.493507828143,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.25,6,100,0.25,RCTD,pearson_mean,Mean Pearson correlation ↑,0.763734300352,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.1,1,7,0.1,Cell2location,summed_rmse,Summed RMSE ↓,0.0449640030584,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.1,1,7,0.1,RCTD,summed_rmse,Summed RMSE ↓,0.0430149785638,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.25,2,7,0.25,Cell2location,summed_rmse,Summed RMSE ↓,0.065705712549,same_expression_exact_spots_common_named_types_plus_other,True,False,False
007__resolution_0.25,2,7,0.25,RCTD,summed_rmse,Summed RMSE ↓,0.0521848428853,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.1,3,50,0.1,Cell2location,summed_rmse,Summed RMSE ↓,0.0628056366937,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.1,3,50,0.1,RCTD,summed_rmse,Summed RMSE ↓,0.0505639649572,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.25,4,50,0.25,Cell2location,summed_rmse,Summed RMSE ↓,0.10128812267,same_expression_exact_spots_common_named_types_plus_other,True,False,False
050__resolution_0.25,4,50,0.25,RCTD,summed_rmse,Summed RMSE ↓,0.0630820237188,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.1,5,100,0.1,Cell2location,summed_rmse,Summed RMSE ↓,0.111889640861,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.1,5,100,0.1,RCTD,summed_rmse,Summed RMSE ↓,0.0532339222191,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.25,6,100,0.25,Cell2location,summed_rmse,Summed RMSE ↓,0.125013938287,same_expression_exact_spots_common_named_types_plus_other,True,False,False
100__resolution_0.25,6,100,0.25,RCTD,summed_rmse,Summed RMSE ↓,0.0649190302,same_expression_exact_spots_common_named_types_plus_other,True,False,False
