resolution,display_order,cell_type,mean_proportion_nonempty_locations,present_in_reference
0.25,1,01 IT-ET Glut,0.0,False
0.25,2,02 NP-CT-L6b Glut,0.0,False
0.25,3,03 OB-CR Glut,0.0,False
0.25,4,04 DG-IMN Glut,0.0,False
0.25,5,05 OB-IMN GABA,0.0,False
0.25,6,06 CTX-CGE GABA,0.0,False
0.25,7,07 CTX-MGE GABA,0.0,False
0.25,8,08 CNU-MGE GABA,6.217358865953743e-05,True
0.25,9,09 CNU-LGE GABA,0.0,False
0.25,10,10 LSX GABA,0.0,False
0.25,11,11 CNU-HYa GABA,2.0724529553179136e-05,True
0.25,12,12 HY GABA,6.217358865953743e-05,True
0.25,13,13 CNU-HYa Glut,3.868578849926772e-05,True
0.25,14,14 HY Glut,4.144905910635827e-05,True
0.25,15,18 TH Glut,1.9130334972165357e-05,True
0.25,16,19 MB Glut,0.07327003180024814,True
0.25,17,20 MB GABA,0.0077817351070273225,True
0.25,18,21 MB Dopa,0.0,False
0.25,19,22 MB-HB Sero,0.0011809553851774384,True
0.25,20,23 P Glut,0.021147248006106022,True
0.25,21,24 MY Glut,0.012774132509250325,True
0.25,22,26 P GABA,0.012093462062064676,True
0.25,23,27 MY GABA,0.004387095208175455,True
0.25,24,28 CB GABA,0.16263781724077767,True
0.25,25,29 CB Glut,0.21938485461120816,True
0.25,26,30 Astro-Epen,0.10918944470928653,True
0.25,27,31 OPC-Oligo,0.19113616964572744,True
0.25,28,32 OEC,0.0,False
0.25,29,33 Vascular,0.16105345288535747,True
0.25,30,34 Immune,0.023719263940143294,True
0.1,1,01 IT-ET Glut,0.0,False
0.1,2,02 NP-CT-L6b Glut,0.0,False
0.1,3,03 OB-CR Glut,0.0,False
0.1,4,04 DG-IMN Glut,0.0,False
0.1,5,05 OB-IMN GABA,0.0,False
0.1,6,06 CTX-CGE GABA,0.0,False
0.1,7,07 CTX-MGE GABA,0.0,False
0.1,8,08 CNU-MGE GABA,4.2016806722689056e-05,True
0.1,9,09 CNU-LGE GABA,0.0,False
0.1,10,10 LSX GABA,0.0,False
0.1,11,11 CNU-HYa GABA,1.4347202295552353e-05,True
0.1,12,12 HY GABA,6.5359477124183e-05,True
0.1,13,13 CNU-HYa Glut,4.702194357366765e-05,True
0.1,14,14 HY Glut,3.9215686274509764e-05,True
0.1,15,18 TH Glut,3.460207612456747e-05,True
0.1,16,19 MB Glut,0.07075302810449159,True
0.1,17,20 MB GABA,0.007385531814247234,True
0.1,18,21 MB Dopa,0.0,False
0.1,19,22 MB-HB Sero,0.0012062854174605489,True
0.1,20,23 P Glut,0.02030314948711042,True
0.1,21,24 MY Glut,0.011836345168329846,True
0.1,22,26 P GABA,0.012285193217314656,True
0.1,23,27 MY GABA,0.004478509264224581,True
0.1,24,28 CB GABA,0.15397497082179795,True
0.1,25,29 CB Glut,0.23340160227640522,True
0.1,26,30 Astro-Epen,0.11174637086469244,True
0.1,27,31 OPC-Oligo,0.18326006591421687,True
0.1,28,32 OEC,0.0,False
0.1,29,33 Vascular,0.16627015377837936,True
0.1,30,34 Immune,0.022856230679213944,True
