display_order,cell_type,hex_color,present_in_source_slice
1,01 IT-ET Glut,#436B92,True
2,02 NP-CT-L6b Glut,#A0B3CC,True
3,03 OB-CR Glut,#D77A47,True
4,04 DG-IMN Glut,#E6AE80,True
5,05 OB-IMN GABA,#58914E,True
6,06 CTX-CGE GABA,#95C28C,True
7,07 CTX-MGE GABA,#A83E3C,True
8,08 CNU-MGE GABA,#DC8E8B,True
9,09 CNU-LGE GABA,#786397,False
10,10 LSX GABA,#AD9FBB,False
11,11 CNU-HYa GABA,#73544E,True
12,12 HY GABA,#AA8E88,False
13,13 CNU-HYa Glut,#B2739E,True
14,14 HY Glut,#DBA8BC,True
15,18 TH Glut,#8A8A89,True
16,19 MB Glut,#C6C7C6,True
17,20 MB GABA,#A7AA55,True
18,21 MB Dopa,#C9CA90,True
19,22 MB-HB Sero,#5CADB2,True
20,23 P Glut,#9BC9CB,True
21,24 MY Glut,#D2D561,True
22,26 P GABA,#C1B598,True
23,27 MY GABA,#8BBF93,False
24,28 CB GABA,#4B4484,False
25,29 CB Glut,#AB719D,True
26,30 Astro-Epen,#68AF78,True
27,31 OPC-Oligo,#57676E,True
28,32 OEC,#74848B,False
29,33 Vascular,#8AB164,True
30,34 Immune,#D8E09F,True
31,16 HY MM Glut,#496A81,True
32,25 Pineal Glut,#7F6D4B,True
