metric,metric_label,method,n_expected,n_available
batch_asw,Batch ASW,GraphST,12,12
batch_asw,Batch ASW,STAMP,12,12
batch_asw,Batch ASW,scVI,12,12
batch_mixing_entropy_k30,Batch mixing entropy (k=30),GraphST,12,12
batch_mixing_entropy_k30,Batch mixing entropy (k=30),STAMP,12,12
batch_mixing_entropy_k30,Batch mixing entropy (k=30),scVI,12,12
centroid_distance,Centroid distance,GraphST,12,12
centroid_distance,Centroid distance,STAMP,12,12
centroid_distance,Centroid distance,scVI,12,12
covariance_distance,Covariance distance,GraphST,12,12
covariance_distance,Covariance distance,STAMP,12,12
covariance_distance,Covariance distance,scVI,12,12
domain_asw,Domain ASW,GraphST,12,12
domain_asw,Domain ASW,STAMP,12,12
domain_asw,Domain ASW,scVI,12,12
domain_purity_k30,Domain purity (k=30),GraphST,12,12
domain_purity_k30,Domain purity (k=30),STAMP,12,12
domain_purity_k30,Domain purity (k=30),scVI,12,12
mmd2_rbf_biased,Biased RBF MMD²,GraphST,12,12
mmd2_rbf_biased,Biased RBF MMD²,STAMP,12,12
mmd2_rbf_biased,Biased RBF MMD²,scVI,12,12
paired_expression_correlation,Paired expression correlation,GraphST,12,0
paired_expression_correlation,Paired expression correlation,STAMP,12,0
paired_expression_correlation,Paired expression correlation,scVI,12,12
paired_retrieval_median_rank,Paired retrieval median rank,GraphST,12,12
paired_retrieval_median_rank,Paired retrieval median rank,STAMP,12,12
paired_retrieval_median_rank,Paired retrieval median rank,scVI,12,12
paired_retrieval_top1,Paired retrieval top-1,GraphST,12,12
paired_retrieval_top1,Paired retrieval top-1,STAMP,12,12
paired_retrieval_top1,Paired retrieval top-1,scVI,12,12
