method,mode,alpha,alpha_stratum,metric,metric_label,value,analysis_role,support_variant,representation,supplementary_diagnostic_only,active_manuscript_claim,winner_ranking_authorized,composite_score_used
GraphST,diagonal_affine,0.25,interpolation,batch_asw,Batch ASW,0.00515015711396,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.25,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.949688737206,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.25,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.819440598172,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.25,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,1,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.25,interpolation,domain_asw,Domain ASW,0.0293493620169,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.25,interpolation,domain_purity_k30,Domain purity (k=30),0.677028523955,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.25,interpolation,centroid_distance,Centroid distance,0.620855045031,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.25,interpolation,covariance_distance,Covariance distance,0.0420835814236,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.25,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.00742335202773,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.25,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.5,interpolation,batch_asw,Batch ASW,0.0134347355668,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.5,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.842041068837,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.5,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.620880642481,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.5,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,1,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.5,interpolation,domain_asw,Domain ASW,0.0302349191472,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.5,interpolation,domain_purity_k30,Domain purity (k=30),0.675348472261,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.5,interpolation,centroid_distance,Centroid distance,0.977920129779,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.5,interpolation,covariance_distance,Covariance distance,0.0795240845576,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.5,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.0169419710446,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.5,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.75,interpolation,batch_asw,Batch ASW,0.0215668762931,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.75,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.719387756452,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.75,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.445306009416,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.75,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,2,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.75,interpolation,domain_asw,Domain ASW,0.0291559869747,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.75,interpolation,domain_purity_k30,Domain purity (k=30),0.670760638789,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.75,interpolation,centroid_distance,Centroid distance,1.22779536549,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.75,interpolation,covariance_distance,Covariance distance,0.114114993251,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.75,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.0264148021737,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,0.75,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1,interpolation,batch_asw,Batch ASW,0.0297390010747,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.582443338296,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.304347826087,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,8,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1,interpolation,domain_asw,Domain ASW,0.0264039493585,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1,interpolation,domain_purity_k30,Domain purity (k=30),0.670843718268,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1,interpolation,centroid_distance,Centroid distance,1.43146113348,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1,interpolation,covariance_distance,Covariance distance,0.136029987974,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.0351907441251,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.25,extrapolation,batch_asw,Batch ASW,0.0369346961094,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.25,extrapolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.467551094943,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.25,extrapolation,paired_retrieval_top1,Paired retrieval top-1,0.202713929659,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.25,extrapolation,paired_retrieval_median_rank,Paired retrieval median rank,24,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.25,extrapolation,domain_asw,Domain ASW,0.0267631794631,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.25,extrapolation,domain_purity_k30,Domain purity (k=30),0.66715591249,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.25,extrapolation,centroid_distance,Centroid distance,1.57796129887,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.25,extrapolation,covariance_distance,Covariance distance,0.153667088397,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.25,extrapolation,mmd2_rbf_biased,Biased RBF MMD²,0.0440803233782,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.25,extrapolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.5,extrapolation,batch_asw,Batch ASW,0.043178917777,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.5,extrapolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.383009127344,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.5,extrapolation,paired_retrieval_top1,Paired retrieval top-1,0.126003877042,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.5,extrapolation,paired_retrieval_median_rank,Paired retrieval median rank,51,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.5,extrapolation,domain_asw,Domain ASW,0.0280468565842,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.5,extrapolation,domain_purity_k30,Domain purity (k=30),0.668369795994,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.5,extrapolation,centroid_distance,Centroid distance,1.68139102734,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.5,extrapolation,covariance_distance,Covariance distance,0.166753149052,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.5,extrapolation,mmd2_rbf_biased,Biased RBF MMD²,0.050871199132,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,diagonal_affine,1.5,extrapolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.25,interpolation,batch_asw,Batch ASW,0.00701495444807,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.25,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.935206063641,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.25,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.778731653282,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.25,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,1,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.25,interpolation,domain_asw,Domain ASW,0.0297910127973,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.25,interpolation,domain_purity_k30,Domain purity (k=30),0.67550078464,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.25,interpolation,centroid_distance,Centroid distance,0.715929581756,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.25,interpolation,covariance_distance,Covariance distance,0.0468262674913,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.25,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.0100204646039,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.25,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.5,interpolation,batch_asw,Batch ASW,0.0168871608994,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.5,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.813686976599,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.5,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.579063971199,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.5,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,1,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.5,interpolation,domain_asw,Domain ASW,0.0293782259928,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.5,interpolation,domain_purity_k30,Domain purity (k=30),0.675168466722,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.5,interpolation,centroid_distance,Centroid distance,1.08381349903,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.5,interpolation,covariance_distance,Covariance distance,0.0874935097452,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.5,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.0213540305721,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.5,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.75,interpolation,batch_asw,Batch ASW,0.0254712499223,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.75,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.681430980152,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.75,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.384657989477,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.75,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,4,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.75,interpolation,domain_asw,Domain ASW,0.0292843610283,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.75,interpolation,domain_purity_k30,Domain purity (k=30),0.667354380135,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.75,interpolation,centroid_distance,Centroid distance,1.31894636665,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.75,interpolation,covariance_distance,Covariance distance,0.122009109228,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.75,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.0310835172168,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,0.75,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1,interpolation,batch_asw,Batch ASW,0.0332886597613,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.548461037353,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.232068679036,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,18,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
