group,assignment_randomness,moran_corr_mean,moran_corr_min,moran_corr_max,direction_count
"DLPFC cross-slice, cross donor",0.0,0.5808811934261046,0.5352033731308442,0.6243439897618211,4
"DLPFC cross-slice, cross donor",0.1,0.6663761966486591,0.6255048431991839,0.707551201767142,4
"DLPFC cross-slice, cross donor",0.2,0.7815820407513774,0.7769351519450698,0.7834422979907467,4
"DLPFC cross-slice, cross donor",0.3,0.8324580327556964,0.8260577631344476,0.8400197299314394,4
"DLPFC cross-slice, cross donor",0.5,0.7028975596993743,0.6450289016147822,0.7485057818601697,4
"DLPFC cross-slice, within donor",0.0,0.698684736611116,0.6948096170316681,0.7025598561905639,2
"DLPFC cross-slice, within donor",0.1,0.7635781031492634,0.7606555172803793,0.7665006890181475,2
"DLPFC cross-slice, within donor",0.2,0.8700064137295377,0.8660597619238836,0.8739530655351918,2
"DLPFC cross-slice, within donor",0.3,0.9190139079696895,0.9139262883491374,0.9241015275902416,2
"DLPFC cross-slice, within donor",0.5,0.879367962468601,0.8711215673477174,0.8876143575894846,2
MERFISH cross-slice,0.0,0.6555978500929162,0.6253965406716493,0.685799159514183,2
MERFISH cross-slice,0.1,0.8509667669034324,0.8256440357497212,0.8762894980571436,2
MERFISH cross-slice,0.2,0.9112809530265706,0.9024760055204476,0.9200859005326938,2
MERFISH cross-slice,0.3,0.9094258768372893,0.8990866859677357,0.9197650677068429,2
MERFISH cross-slice,0.5,0.8362310032591653,0.8103470760651502,0.8621149304531804,2
