job_id,mode,dataset,direction,source,target,assignment_randomness,primary_setting,donor_stratum,n_target_spots,target_retained_fraction,n_genes,n_reference_observed_genes,mean_corr,var_corr,moran_corr,zero_ks,median_gene_pearson,median_gene_spearman,observed_mean_corr,observed_var_corr,observed_moran_corr,observed_zero_ks,observed_median_gene_pearson,observed_median_gene_spearman,decode_method,seed,group,direction_label,zero_fidelity,reference_observed_fraction,evaluation_scope
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151670_to_151675-ar-0.3,cross_slice,dlpfc,151670_to_151675,151670,151675,0.3,True,cross_donor,2963,0.8311360448807854,17391,17391,0.9915450668474394,0.9829938992777348,0.8260577631344476,0.0122477143350008,-0.0021920313854511,-0.0021392038337024,0.9915450668474394,0.9829938992777348,0.8260577631344476,0.0122477143350008,-0.0021920313854511,-0.0021392038337024,empirical_rank,2026,"DLPFC cross-slice, cross donor",151670→151675,0.9877522856649992,1.0,filtered_supported_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151675_to_151670-ar-0.3,cross_slice,dlpfc,151675_to_151670,151675,151670,0.3,True,cross_donor,3480,1.0,17391,17391,0.9917313905670374,0.9799374703830512,0.8400197299314394,0.0677361853832441,-0.002305478950797,-0.0022313036523849,0.9917313905670374,0.9799374703830512,0.8400197299314394,0.0677361853832441,-0.002305478950797,-0.0022313036523849,empirical_rank,2026,"DLPFC cross-slice, cross donor",151675→151670,0.9322638146167559,1.0,complete_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151670_to_151676-ar-0.3,cross_slice,dlpfc,151670_to_151676,151670,151676,0.3,True,cross_donor,2888,0.8417371028854561,17391,17391,0.9912348757055576,0.9819607166425842,0.8268823378924248,0.0288080041400724,-0.0018357340289993,-0.0019001650155949,0.9912348757055576,0.9819607166425842,0.8268823378924248,0.0288080041400724,-0.0018357340289993,-0.0019001650155949,empirical_rank,2026,"DLPFC cross-slice, cross donor",151670→151676,0.9711919958599275,1.0,filtered_supported_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151676_to_151670-ar-0.3,cross_slice,dlpfc,151676_to_151670,151676,151670,0.3,True,cross_donor,3480,1.0,17391,17391,0.9910659544570832,0.981267201659518,0.836872300064474,0.0792938876430338,-0.0014957266436893,-0.0015015602564722,0.9910659544570832,0.981267201659518,0.836872300064474,0.0792938876430338,-0.0014957266436893,-0.0015015602564722,empirical_rank,2026,"DLPFC cross-slice, cross donor",151676→151670,0.9207061123569662,1.0,complete_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151675_to_151676-ar-0.3,cross_slice,dlpfc,151675_to_151676,151675,151676,0.3,True,within_donor,3431,1.0,17391,17391,0.9987516214494002,0.9976928295332288,0.9139262883491374,0.0209878672876775,0.0075623254190815,0.0070223848198206,0.9987516214494002,0.9976928295332288,0.9139262883491374,0.0209878672876775,0.0075623254190815,0.0070223848198206,empirical_rank,2026,"DLPFC cross-slice, within donor",151675→151676,0.9790121327123225,1.0,complete_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151676_to_151675-ar-0.3,cross_slice,dlpfc,151676_to_151675,151676,151675,0.3,True,within_donor,3565,1.0,17391,17391,0.9987497455592332,0.9975933115760904,0.9241015275902416,0.0216778793628888,0.0069117437641108,0.0065690586879387,0.9987497455592332,0.9975933115760904,0.9241015275902416,0.0216778793628888,0.0069117437641108,0.0065690586879387,empirical_rank,2026,"DLPFC cross-slice, within donor",151676→151675,0.9783221206371112,1.0,complete_target
study05-two-dataset-conditional-half-slice-v2-mask_half-dlpfc-151670_low_x_to_high_x-ar-0.3,mask_half,dlpfc,151670_low_x_to_high_x,151670,151670,0.3,True,within_slice,1739,1.0,17391,17294,0.9970672195483268,0.9981383116637328,0.8580869894473271,0.044333275832327,5.6743744585627965e-05,0.0001268742900473,0.9970643385147888,0.9981383051321848,0.8580869894473271,0.0445819359315369,5.6743744585627965e-05,0.0001268742900473,empirical_rank,2026,DLPFC half-slice,151670 half,0.955666724167673,0.9944224023920418,complete_target
study05-two-dataset-conditional-half-slice-v2-mask_half-dlpfc-151675_low_x_to_high_x-ar-0.3,mask_half,dlpfc,151675_low_x_to_high_x,151675,151675,0.3,True,within_slice,1782,1.0,17391,17245,0.991020616038654,0.9954215234134384,0.7312021663660646,0.114312000460008,-0.0029786121634609,-0.0027568825330776,0.991013846351722,0.9954216758710348,0.7312021663660646,0.1152797912438388,-0.0029786121634609,-0.0027568825330776,empirical_rank,2026,DLPFC half-slice,151675 half,0.885687999539992,0.991604853084929,complete_target
study05-two-dataset-conditional-half-slice-v2-mask_half-dlpfc-151676_low_x_to_high_x-ar-0.3,mask_half,dlpfc,151676_low_x_to_high_x,151676,151676,0.3,True,within_slice,1715,1.0,17391,17262,0.989745555292,0.9986597359790318,0.727835366577918,0.1200046000805014,-0.0026713017413681,-0.0024803521300515,0.9897400625426328,0.9986597869975388,0.727835366577918,0.1209014019232996,-0.0026713017413681,-0.0024803521300515,empirical_rank,2026,DLPFC half-slice,151676 half,0.8799953999194986,0.9925823701914783,complete_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-merfish-Zhuang-ABCA-1.006_to_Zhuang-ABCA-1.007-ar-0.3,cross_slice,merfish,Zhuang-ABCA-1.006_to_Zhuang-ABCA-1.007,Zhuang-ABCA-1.006,Zhuang-ABCA-1.007,0.3,True,donor_not_declared,9660,0.996595481275147,1122,1122,0.9852180983512884,0.9666777866284376,0.9197650677068429,0.0819964349376114,0.0459318942750652,0.040514393815598,0.9852180983512884,0.9666777866284376,0.9197650677068429,0.0819964349376114,0.0459318942750652,0.040514393815598,empirical_rank,2026,MERFISH cross-slice,006→007,0.9180035650623886,1.0,filtered_supported_target
