job_id,dataset,mode,group,direction,direction_label,donor_stratum,target_retained_fraction,reference_observed_fraction,n_target_spots,n_genes,n_reference_observed_genes,evaluation_scope
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151670_to_151675-ar-0.3,dlpfc,cross_slice,"DLPFC cross-slice, cross donor",151670_to_151675,151670→151675,cross_donor,0.8311360448807854,1.0,2963,17391,17391,filtered_supported_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151675_to_151670-ar-0.3,dlpfc,cross_slice,"DLPFC cross-slice, cross donor",151675_to_151670,151675→151670,cross_donor,1.0,1.0,3480,17391,17391,complete_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151670_to_151676-ar-0.3,dlpfc,cross_slice,"DLPFC cross-slice, cross donor",151670_to_151676,151670→151676,cross_donor,0.8417371028854561,1.0,2888,17391,17391,filtered_supported_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151676_to_151670-ar-0.3,dlpfc,cross_slice,"DLPFC cross-slice, cross donor",151676_to_151670,151676→151670,cross_donor,1.0,1.0,3480,17391,17391,complete_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151675_to_151676-ar-0.3,dlpfc,cross_slice,"DLPFC cross-slice, within donor",151675_to_151676,151675→151676,within_donor,1.0,1.0,3431,17391,17391,complete_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-dlpfc-151676_to_151675-ar-0.3,dlpfc,cross_slice,"DLPFC cross-slice, within donor",151676_to_151675,151676→151675,within_donor,1.0,1.0,3565,17391,17391,complete_target
study05-two-dataset-conditional-half-slice-v2-mask_half-dlpfc-151670_low_x_to_high_x-ar-0.3,dlpfc,mask_half,DLPFC half-slice,151670_low_x_to_high_x,151670 half,within_slice,1.0,0.9944224023920418,1739,17391,17294,complete_target
study05-two-dataset-conditional-half-slice-v2-mask_half-dlpfc-151675_low_x_to_high_x-ar-0.3,dlpfc,mask_half,DLPFC half-slice,151675_low_x_to_high_x,151675 half,within_slice,1.0,0.991604853084929,1782,17391,17245,complete_target
study05-two-dataset-conditional-half-slice-v2-mask_half-dlpfc-151676_low_x_to_high_x-ar-0.3,dlpfc,mask_half,DLPFC half-slice,151676_low_x_to_high_x,151676 half,within_slice,1.0,0.9925823701914783,1715,17391,17262,complete_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-merfish-Zhuang-ABCA-1.006_to_Zhuang-ABCA-1.007-ar-0.3,merfish,cross_slice,MERFISH cross-slice,Zhuang-ABCA-1.006_to_Zhuang-ABCA-1.007,006→007,donor_not_declared,0.996595481275147,1.0,9660,1122,1122,filtered_supported_target
study05-two-dataset-conditional-half-slice-v2-cross_slice-merfish-Zhuang-ABCA-1.007_to_Zhuang-ABCA-1.006-ar-0.3,merfish,cross_slice,MERFISH cross-slice,Zhuang-ABCA-1.007_to_Zhuang-ABCA-1.006,007→006,donor_not_declared,0.9968396858839302,1.0,10409,1122,1122,filtered_supported_target
study05-two-dataset-conditional-half-slice-v2-mask_half-merfish-Zhuang-ABCA-1.006_low_x_to_high_x-ar-0.3,merfish,mask_half,MERFISH half-slice,Zhuang-ABCA-1.006_low_x_to_high_x,006 half,within_slice,0.9978931239226202,1.0,5210,1122,1122,filtered_supported_target
study05-two-dataset-conditional-half-slice-v2-mask_half-merfish-Zhuang-ABCA-1.007_low_x_to_high_x-ar-0.3,merfish,mask_half,MERFISH half-slice,Zhuang-ABCA-1.007_low_x_to_high_x,007 half,within_slice,0.9948411060668592,1.0,4821,1122,1122,filtered_supported_target
