age,lower_z_index,upper_z_index,lower_z,upper_z,midpoint_z,shared_regions,gene_mean_pearson,log1p_gene_mean_pearson,region_gene_mean_pearson,log1p_region_gene_mean_pearson,mean_absolute_log1p_gene_change,gene_mean_discontinuity,region_gene_mean_discontinuity
E15.5,0,1,-4.12,-4.1,-4.109999999999999,1,0.9999231946588296,0.9996432495510176,0.9999231946588296,0.9996432495510176,0.0066311597499098,7.680534117038285e-05,7.680534117038285e-05
E15.5,1,2,-4.1,-4.08,-4.09,1,0.9999931420590632,0.9999697539300514,0.9999931420590632,0.9999697539300514,0.0018916557025925,6.8579409367997e-06,6.8579409367997e-06
E15.5,2,3,-4.08,-4.06,-4.07,1,0.999996473232694,0.999983588231689,0.999996473232694,0.999983588231689,0.0013781451499855,3.526767305972456e-06,3.526767305972456e-06
E15.5,3,4,-4.06,-4.04,-4.05,1,0.9999978228699328,0.9999902042633042,0.9999978228699328,0.9999902042633042,0.0010280327426886,2.1771300672268623e-06,2.1771300672268623e-06
E15.5,4,5,-4.04,-4.02,-4.029999999999999,1,0.9999986492532564,0.99999333757134,0.9999986492532564,0.99999333757134,0.0008693898697817,1.350746743566944e-06,1.350746743566944e-06
E15.5,5,6,-4.02,-4.0,-4.01,1,0.9999991535710754,0.9999962238446513,0.9999991535710754,0.9999962238446513,0.0006469869803849,8.464289246168377e-07,8.464289246168377e-07
E15.5,6,7,-4.0,-3.98,-3.99,1,0.9999991352126332,0.999996694197209,0.9999991352126332,0.999996694197209,0.0005845550593532,8.647873668277128e-07,8.647873668277128e-07
E15.5,7,8,-3.98,-3.96,-3.97,1,0.9999995760917876,0.9999979955917884,0.9999995760917876,0.9999979955917884,0.0004569223977984,4.2390821242133114e-07,4.2390821242133114e-07
E15.5,8,9,-3.96,-3.94,-3.95,1,0.9999995476372576,0.9999982585349952,0.9999995476372576,0.9999982585349952,0.0004230803550399,4.523627423758114e-07,4.523627423758114e-07
E15.5,9,10,-3.94,-3.92,-3.93,1,0.999990514319799,0.9999859472684604,0.9999996526214994,0.9999984976648209,0.000806915921602,9.485680200982394e-06,3.47378500631379e-07
E15.5,10,11,-3.92,-3.9,-3.91,2,0.9994303095441952,0.9992984130622224,0.9993729297150716,0.9979873614983646,0.0044705300234018,0.0005696904558047944,0.000627070284928366
E15.5,11,12,-3.9,-3.88,-3.89,2,0.9988612652925356,0.998843486542992,0.9999871424752484,0.9999542357925478,0.0057837640174226,0.001138734707464395,1.2857524751552774e-05
E15.5,12,13,-3.88,-3.86,-3.87,3,0.9986318323561753,0.9987793421247496,0.9994853693217606,0.9976875501468392,0.0058606606148815,0.001368167643824747,0.000514630678239425
E15.5,13,14,-3.86,-3.84,-3.85,3,0.9965203404905474,0.9973870399537864,0.9998456157246116,0.9992029684853876,0.0082787890750347,0.003479659509452615,0.00015438427538838617
