age,z_index,z_world,display_region,n_spots
E15.5,0,-4.12,BT,68
E15.5,1,-4.1,BT,244
E15.5,2,-4.08,BT,382
E15.5,3,-4.06,BT,518
E15.5,4,-4.04,BT,668
E15.5,5,-4.02,BT,804
E15.5,6,-4.0,BT,974
E15.5,7,-3.98,BT,1163
E15.5,8,-3.96,BT,1369
E15.5,9,-3.94,BT,1607
E15.5,10,-3.92,BT,1878
E15.5,10,-3.92,GE,16
E15.5,11,-3.9,BT,1969
E15.5,11,-3.9,GE,148
E15.5,12,-3.88,BT,1991
E15.5,12,-3.88,GE,348
E15.5,12,-3.88,Septum,10
E15.5,13,-3.86,BT,2007
E15.5,13,-3.86,GE,602
E15.5,13,-3.86,Septum,24
E15.5,14,-3.84,BT,2012
E15.5,14,-3.84,GE,1054
E15.5,14,-3.84,Septum,100
E15.5,15,-3.82,BT,2108
E15.5,15,-3.82,GE,1460
E15.5,15,-3.82,Septum,214
E15.5,16,-3.8,BT,2629
E15.5,16,-3.8,GE,2088
E15.5,16,-3.8,Septum,834
E15.5,17,-3.78,BT,3426
E15.5,17,-3.78,GE,2420
E15.5,17,-3.78,Septum,1204
E15.5,18,-3.76,BT,4966
E15.5,18,-3.76,GE,2842
E15.5,18,-3.76,Septum,1576
E15.5,19,-3.74,BT,5882
E15.5,19,-3.74,GE,3186
E15.5,19,-3.74,Septum,1805
E15.5,20,-3.72,BT,6584
E15.5,20,-3.72,GE,3548
E15.5,20,-3.72,Septum,1941
E15.5,21,-3.7,BT,7317
E15.5,21,-3.7,GE,3830
E15.5,21,-3.7,Septum,2037
E15.5,22,-3.68,BT,7862
E15.5,22,-3.68,GE,4112
E15.5,22,-3.68,Septum,2144
E15.5,23,-3.66,BT,8376
E15.5,23,-3.66,GE,4366
E15.5,23,-3.66,Septum,2207
E15.5,24,-3.64,BT,8707
E15.5,24,-3.64,GE,4644
E15.5,24,-3.64,Septum,2295
E15.5,25,-3.62,BT,8977
E15.5,25,-3.62,GE,4904
E15.5,25,-3.62,Septum,2395
E15.5,26,-3.6,BT,9271
E15.5,26,-3.6,GE,5124
E15.5,26,-3.6,Septum,2469
E15.5,27,-3.58,BT,9493
E15.5,27,-3.58,GE,5366
E15.5,27,-3.58,Septum,2536
